title,average_rating,language_code,num_pages,ratings_count,text_reviews_count,decade,quarter,tra_co,multivolume
The Birth of Tragedy,3.98,eng,92,210,20,1990,2,1,0
Human  All Too Human (Complete Works 3),4.21,en-US,396,64,4,2000,4,1,0
Basic Writings of Nietzsche,4.11,eng,862,3227,76,2000,1,1,0
Beyond Good and Evil,4.01,eng,240,48651,1115,2000,1,1,0
Daybreak: Thoughts on the Prejudices of Morality,4.18,eng,292,818,26,1990,4,1,0
How To Draw The Legend Of Zelda    (troll),4.21,en-US,32,61,7,2000,1,1,0
Savage Beauty: The Life of Edna St. Vincent Millay,4.01,eng,608,6799,483,2000,3,0,0
Premières Histoires,4.33,fre,205,0,0,1990,1,0,0
My Year of Meats,3.96,eng,366,12431,1330,1990,1,0,0
Beef,3.96,ger,383,2,0,2000,2,0,0
Mon épouse américaine,3.96,fre,445,3,0,2000,2,1,0
The Partly Cloudy Patriot,3.88,eng,197,25608,1318,2000,4,1,0
The Risk Pool,4.04,eng,479,5013,332,1990,2,0,0
The Whore's Child and Other Stories,3.75,eng,240,2738,252,2000,4,0,0
Supermob: How Sidney Korshak and His Criminal Associates Became America's Hidden Power Brokers,3.88,en-US,640,89,15,2000,3,0,0
The Lay of the Land,3.9,eng,485,3255,353,2000,4,0,0
Tom Ford,4.47,eng,416,182,11,2000,4,1,0
The People's Tycoon: Henry Ford and the American Century,4.02,eng,656,309,39,2000,4,0,0
Wilderness: The Lost Writings  Vol. 1,3.96,eng,214,2940,124,1980,4,0,1
When Somebody Loves You Back (Soulmates Dissipate  #6),4.38,en-US,285,1763,20,2000,3,0,1
Journey to the End of the Night,4.23,eng,453,21561,876,2000,2,1,0
Europe Central,3.92,en-US,811,2121,247,2000,4,0,0
Historical Atlas of Central Europe (History of East Central Europe  Vol. 1),4.43,en-US,288,24,4,2000,3,0,1
Passing,3.85,eng,546,335,26,2000,3,1,0
The Complete Fiction of Nella Larsen: Passing  Quicksand  and the Stories,4.14,eng,278,824,59,2000,4,1,0
The Poet of Tolstoy Park,3.93,eng,304,565,118,2000,1,0,0
A Calendar of Wisdom: Daily Thoughts to Nourish the Soul,4.07,eng,384,502,43,1990,4,1,0
Safe Conduct: An Autobiography and Other Writings,3.82,eng,256,83,8,2000,2,1,0
Letters: Summer 1926,4.26,eng,380,179,16,2000,4,1,0
Traveller,3.92,eng,355,884,74,1980,4,0,0
The Plague Dogs,3.85,eng,390,5875,401,2000,4,0,0
Maia (Beklan Empire #2),4.01,eng,1056,1719,133,1980,3,0,1
The Girl in a Swing,3.52,eng,339,24,3,1980,4,0,0
You Can't Go Home Again,4.04,eng,711,4025,265,1990,3,0,0
Look Homeward  Angel,3.93,eng,644,11131,751,2000,4,0,0
Of Time and the River: A Legend of Man's Hunger in His Youth,4.2,eng,896,777,45,1990,3,1,0
Boys' Life & Search and Destroy,3.76,en-GB,160,17,0,2000,4,0,0
Complete Plays 1920–1931,4.18,eng,1092,90,9,1980,4,1,0
Complete Plays 1913–1920,4.1,eng,1107,87,5,1980,4,1,0
The Castle in the Forest,3.14,en-US,477,2307,351,2000,1,0,0
The Naked and the Dead,3.94,eng,721,21004,620,2000,3,0,0
The Executioner's Song,4.06,eng,1056,15682,952,1990,2,0,0
The Big Empty: Dialogues on Politics  Sex  God  Boxing  Morality  Myth  Poker & Bad Conscience in America,3.3,en-US,218,67,10,2000,1,1,0
The Armies of the Night: History as a Novel  the Novel as History,3.66,eng,304,2500,188,1990,1,0,0
In Cold Blood,4.07,eng,316,3500,313,2000,1,0,0
Cold Blood (Lorraine Page  #2),3.92,eng,462,12,3,1990,2,0,1
Amazing Disgrace (Gerald Samper #2),3.8,eng,320,221,34,2000,4,0,1
Cry  the Beloved Country,3.9,eng,240,767,85,2000,3,0,0
You Don't Know Jack (NY Girlfriends  #2),3.72,en-US,255,2757,119,2000,4,0,1
The Sunset Limited,3.96,eng,160,6494,562,2000,4,0,0
No Country for Old Men,4.14,eng,309,120421,6140,2000,3,0,0
McCarthy's Bar: A Journey of Discovery in Ireland,3.8,eng,338,8819,394,2000,1,0,0
The Idiot,4.18,eng,667,94133,2760,2000,2,1,0
The Complete Idiot's Guide to Calculus,4.11,en-US,352,64,9,2000,2,0,0
True and False: Heresy and Common Sense for the Actor,3.95,eng,144,1876,147,1990,1,0,0
On Directing Film,3.86,eng,107,2448,146,1990,1,0,0
Book of Dreams,3.44,eng,250,924,25,2000,2,1,0
Three by Annie Dillard: Pilgrim at Tinker Creek  An American Childhood  The Writing Life,4.34,en-US,617,562,42,1990,4,0,0
Pilgrim at Tinker Creek,4.11,eng,288,17681,1596,2000,2,0,0
An American Childhood,3.91,eng,255,7102,604,2010,4,0,0
For the Time Being,4.16,en-US,205,3172,380,2000,1,0,0
The Maytrees,3.57,eng,216,4870,975,2000,2,0,0
Plan B: Further Thoughts on Faith,4.05,eng,352,18922,865,2000,1,0,0
All New People,3.63,eng,166,1562,111,1990,4,0,0
Operating Instructions: A Journal of My Son's First Year,4.19,eng,251,21507,1664,2000,1,0,0
Stiff: The Curious Lives of Human Cadavers,4.06,eng,304,1029,188,2000,3,0,0
A Working Stiff's Manifesto: A Memoir of Thirty Jobs I Quit  Nine That Fired Me  and Three I Can't Remember,3.83,eng,164,509,81,2000,2,0,0
Stiff Upper Lip  Jeeves (Jeeves  #13),4.29,eng,211,6970,310,2000,4,0,1
The Bonesetter's Daughter,3.99,eng,387,108440,2689,2000,1,0,0
The Kitchen God's Wife,4.01,en-US,416,66503,1661,2000,3,0,0
The Moon Lady,3.97,eng,32,1388,64,1990,4,1,0
The Short History of a Prince,3.65,eng,432,1799,121,1990,2,0,0
The Guardian,3.72,eng,239,83,20,1990,4,0,0
Sometimes a Great Notion,4.17,eng,715,577,80,2000,3,1,0
Trout Fishing in America / The Pill vs. the Springhill Mine Disaster / In Watermelon Sugar,4.15,eng,400,8721,380,1980,1,0,0
Revenge of the Lawn / The Abortion / So the Wind Won't Blow it All Away,4.29,eng,544,2076,95,1990,1,0,0
A Confederate General from Big Sur / Dreaming of Babylon / The Hawkline Monster,4.25,en-US,608,1724,103,1990,1,0,0
An Unfortunate Woman,3.78,eng,132,1349,77,2000,3,1,0
The Collected Stories,4.23,eng,622,7084,202,1980,1,0,0
Complete Novels: The Robber Bridegroom  Delta Wedding  The Ponder Heart  Losing Battles  The Optimist's Daughter,4.17,eng,1012,274,27,1990,3,1,0
Eudora Welty: Photographs,4.43,eng,226,305,15,1990,4,1,0
On Writing,4.04,eng,106,484,56,2000,3,1,0
Losing Battles,3.6,eng,436,433,59,1990,3,0,0
The Eye of the Story: Selected Essays and Reviews,4.06,eng,368,102,11,1990,3,0,0
The Golden Apples,3.88,eng,288,830,76,1950,3,0,0
One Writer's Beginnings,4.06,eng,104,2717,232,1990,3,0,0
The Spirit Catches You and You Fall Down: A Hmong Child  Her American Doctors  and the Collision of Two Cultures,4.17,eng,341,60656,4194,1990,3,0,0
Hegemony or Survival: America's Quest for Global Dominance,3.97,eng,301,11173,345,2000,3,0,0
The Chomsky-Foucault Debate: On Human Nature,3.94,eng,213,1953,116,2000,3,1,0
Media Control: The Spectacular Achievements of Propaganda,4.02,eng,103,4332,320,2000,3,0,0
11 de Septiembre,3.73,spa,144,14,2,2000,3,0,0
On Anarchism,3.93,eng,256,4145,192,2000,2,1,0
The Chomsky Reader,3.98,eng,492,1643,38,1980,2,0,0
Language and Mind,3.86,eng,190,819,31,2000,4,0,0
Perilous Power: The Middle East & US Foreign Policy,4.05,en-GB,242,270,16,2000,3,1,0
What Uncle Sam Really Wants,3.99,eng,111,1679,133,1990,1,1,0
Imperial Ambitions: Conversations on the Post-9/11 World,3.97,eng,226,1776,90,2000,4,1,0
On MisEducation (Critical Perspectives),3.76,eng,199,282,20,2000,1,1,0
Aspects of the Theory of Syntax,3.96,eng,261,296,10,1960,1,0,0
On Democracy & Education (Social Theory  Education & Cultural Change),3.96,en-US,480,84,5,2000,4,1,0
Cat Breaking Free (Joe Grey  #11),4.22,eng,375,225,20,2000,4,0,1
Confessions,3.62,eng,676,4919,160,2000,2,1,0
Cat Cross Their Graves (Joe Grey  #10),4.32,eng,385,504,28,2000,3,0,1
The Social Contract,3.77,eng,168,29090,451,2000,2,1,0
Cat in the Dark (Joe Grey  #4),4.25,en-US,320,723,36,1990,4,0,1
The Source,4.3,eng,1080,34972,1149,2000,3,0,0
Hawaii,4.2,eng,1136,66298,1383,2000,3,0,0
Chesapeake,4.18,eng,1024,19174,664,2000,3,0,0
Caravans,4.05,eng,320,4753,400,2000,3,0,0
Iberia,3.71,eng,960,2153,152,1980,4,1,0
Centennial,4.24,eng,1086,95,13,1980,3,0,0
Carrie (Biblioteca de Stephen King. 102  8),3.96,spa,288,67,3,2000,3,1,0
Carrie,3.96,spa,254,28,9,2000,2,0,0
The Shining,4.22,eng,505,1316,134,2000,4,0,0
The Shining,4.22,eng,505,8,2,2000,4,0,0
Marley & Me: Life and Love with the World's Worst Dog,4.13,en-US,306,697,158,2000,4,0,0
Marley and Me: Life and Love With the World's Worst Dog,4.13,eng,291,414947,12116,2000,4,0,0
Wuthering Heights,3.85,eng,322,1898,201,2000,1,1,0
The Moon Is Down,3.9,eng,144,15806,996,2000,4,0,0
Ride the Moon Down,4.15,en-US,576,103,4,1990,3,0,0
Drawing Down the Moon: Witches  Druids  Goddess-Worshippers  and Other Pagans in America,4.02,eng,672,6509,209,2000,4,0,0
Sing Down the Moon,3.74,eng,124,6548,356,1990,1,0,0
Light in August,3.94,eng,460,329,35,2000,2,0,0
The Transit of Venus,3.89,eng,352,1681,276,1990,4,0,0
Kingsblood Royal,3.97,en-US,352,77,11,2000,2,1,0
Swann's Way (In Search of Lost Time  #1),4.14,eng,492,30493,1767,2000,4,1,1
Swann's Way (Remembrance of Things Past  #1),4.14,en-US,466,17,9,2000,4,1,1
Swann's Way (Remembrance of Things Past  #1),4.14,eng,380,1,0,2000,1,1,1
Lady of the Lake,3.27,eng,304,70,6,1990,3,0,0
A Kiss Before Dying,3.94,eng,242,6548,556,2000,2,1,0
A Kiss Before Dying (Sweet Valley High  #122),3.67,eng,197,267,7,1990,1,1,1
The Satanic Verses,3.71,eng,560,11,0,1980,3,0,0
The City of Falling Angels,3.54,eng,414,12741,1494,2000,3,0,0
Falling Angel,3.92,eng,302,2243,220,2000,4,1,0
Falling Angels (Luc Actar #1),4.67,eng,216,1,0,2000,1,0,1
The Collaborator: The Trial and Execution of Robert Brasillach,3.9,eng,308,77,14,2000,4,0,0
Ulysses,3.73,eng,1084,250,38,1990,4,1,0
The Crazed,3.5,eng,336,15,1,2000,4,0,0
Chickenhawk: Back in the World Again: Life After Vietnam,4.09,eng,400,175,17,1990,2,0,0
Nuns and Soldiers,3.93,eng,512,503,34,2000,3,1,0
Sir Gawain And The Green Knight,3.94,eng,120,21,5,2000,4,1,0
Cliffs Notes on Wiesel's Night,3.4,eng,80,5,1,1990,3,0,0
The Night Trilogy: Night  Dawn  the Accident,4.29,eng,318,2439,255,1980,3,1,0
Strong Motion,3.52,eng,528,3996,278,2000,2,0,0
How to Be Alone,3.59,eng,306,336,33,2000,3,0,0
The Twenty-Seventh City,3.12,eng,528,3621,330,2000,3,0,0
Second Ring of Power,4.03,en-US,328,2779,33,1990,2,0,0
The Active Side of Infinity,4.16,eng,288,1952,70,1990,4,0,0
Journey to Ixtlan,4.12,eng,272,8541,257,1990,1,0,0
The Wheel of Time: The Shamans of Mexico Their Thoughts About Life Death & the Universe,4.03,eng,304,956,37,2000,1,0,0
Power of Silence,4.22,eng,288,2253,53,1990,2,0,0
Tales of Power,4.13,en-US,304,4657,89,1990,1,0,0
Fire from Within,4.14,en-US,304,2554,67,1990,1,0,0
The Art of Dreaming,4.1,eng,260,3618,97,2000,1,0,0
The Best Stories of Fyodor Dostoevsky,4.26,eng,352,110,6,2000,3,1,0
The Best Short Stories,4.26,eng,320,2711,89,2000,1,1,0
Demons,4.27,eng,733,214,27,2000,4,1,0
The Idiot,4.18,eng,633,2710,294,2000,3,1,0
Great Short Works of Fyodor Dostoevsky,4.42,eng,768,1330,29,2000,3,1,0
The Idiot,4.18,eng,578,442,52,2000,1,1,0
Celtic Tree Mysteries: Practical Druid Magic & Divination,3.92,en-US,278,192,5,2000,4,1,0
Rebecca,4.23,en-US,441,179639,8119,2000,4,1,0
Betraying Spinoza: The Renegade Jew Who Gave Us Modernity,3.92,en-US,304,536,79,2000,2,0,0
Shadow of the Moon (Moon #5),3.79,eng,336,534,25,2000,2,0,1
Black Lamb and Grey Falcon,4.23,eng,1181,1623,228,2000,1,1,0
Operation Shylock: A Confession,3.77,eng,400,3115,188,1990,2,0,0
Operation Shylock. Ein Bekenntnis,3.77,ger,464,1,0,1990,1,0,0
Lost in the Funhouse,3.7,eng,205,5052,305,1980,1,0,0
CliffsNotes on Faulkner's As I Lay Dying (Cliffs Notes),3.73,eng,72,10,3,1960,1,1,0
The Sound and the Fury  As I Lay Dying  Sanctuary  Intruder in the Dust,4.05,eng,760,8,1,1980,1,0,0
CliffsNotes on Faulkner's Absalom  Absalom!,3.12,eng,64,8,1,1960,1,1,0
The Aeneid,3.84,eng,486,892,117,2000,4,1,0
The Aeneid,3.84,eng,442,87406,1182,1990,2,1,0
The Aeneid,3.84,eng,290,996,96,2000,1,1,0
Aeneid,3.84,eng,340,319,27,2000,1,1,0
Virgil  Vol 2: Aeneid Books 7-12  Appendix Vergiliana,4.4,mul,590,583,5,2000,1,1,1
The Castle of Otranto,3.18,eng,106,237,39,2000,1,1,0
The Castle of Otranto,3.18,eng,125,16370,1211,1990,3,0,0
Messenger (The Giver  #3),3.91,eng,169,93589,6654,2000,3,0,1
Gossamer,3.9,eng,144,13788,1554,2000,2,0,0
Anastasia on Her Own (Anastasia Krupnik  #5),3.9,eng,160,1521,44,1980,2,0,1
Stay!: Keeper's Story,3.93,eng,128,194,32,1990,1,1,0
Gathering Blue (The Giver  #2),3.82,eng,240,132584,9341,2000,3,0,1
See You Around  Sam! (Sam Krupnik  #3),3.71,eng,128,244,15,1990,1,1,1
King Lear,3.91,eng,338,154195,2806,2000,1,0,0
King Lear,3.91,eng,192,269,24,2000,4,1,0
King Lear,3.91,eng,455,1796,98,1990,2,1,0
King Lear,3.91,eng,384,215,11,2000,3,1,0
The Turn of the Screw (Norton Critical Edition),3.43,eng,271,790,93,1990,3,1,0
The Turn of the Screw and The Aspern Papers,3.79,eng,272,6769,270,2000,2,1,0
The Turn of the Screw and Other Short Fiction,3.8,eng,527,3083,134,2000,4,1,0
The Turn of the Screw,3.43,eng,386,616,77,2000,4,1,0
Much Ado about Nothing,4.07,eng,196,128,12,2000,3,1,0
Much Ado About Nothing,4.07,eng,166,1230,62,1990,3,1,0
Much Ado about Nothing (Oxford School Shakespeare),4.07,eng,160,13,2,2000,4,1,0
Much Ado about Nothing,4.07,eng,188,73,12,2000,2,1,0
Winter's Tale,3.5,eng,748,21851,3510,2000,2,0,0
Winter's Tales,3.9,eng,320,1464,100,1990,2,1,0
Twelfth Night,3.98,eng,256,157,18,1990,3,1,0
Twelfth Night,3.98,eng,222,188,14,2000,3,1,0
Twelfth Night,3.98,en-GB,240,199,21,2000,2,0,0
Tempest (Star Wars: Legacy of the Force  #3),3.82,eng,400,5704,94,2000,4,0,1
Red: Passion and Patience in the Desert,4.02,eng,288,1309,107,2000,4,0,0
Hamlet  The Texts of 1603 and 1623,4.27,eng,384,15,0,2000,1,1,0
Hamlet's Dresser: A Memoir,3.74,eng,288,375,63,2000,1,0,0
The Hamlet,3.87,eng,409,4208,216,1990,4,0,0
Othello,3.89,eng,314,273070,4265,2000,1,0,0
Othello,3.89,eng,368,493,25,2000,3,1,0
Julius Caesar,3.68,eng,128,138685,2595,2000,4,1,0
Julius Caesar,3.68,eng,226,51,2,2000,2,1,0
Julius Caesar,3.68,eng,256,769,78,2000,3,1,0
Cliffsnotes on Shakespeare's Henry IV  Part 1,3.88,eng,80,17,0,1960,2,1,0
King Henry IV  Part 1,3.83,eng,398,17782,493,2000,4,1,0
Alice in Wonderland,4.03,eng,92,364782,5234,2000,3,1,0
Alice In Wonderland,4.02,eng,160,143,18,2000,3,1,0
The Alexandria Quartet  (The Alexandria Quartet #1-4),4.17,eng,884,10050,294,1990,4,0,1
Justine (The Alexandria Quartet #1),3.89,eng,253,5428,542,1990,3,0,1
Clea (The Alexandria Quartet #4),4.18,en-US,288,1896,124,1990,3,0,1
Siddhartha,4.02,eng,132,514,40,1990,1,0,0
Kate Vaiden,3.91,eng,306,1345,114,1990,2,0,0
The Social Contract and The First and Second Discourses,3.83,eng,328,63,2,2000,1,1,0
Nature Girl,3.63,eng,306,19245,1533,2000,4,0,0
Stormy Weather,3.95,en-US,388,12609,696,2000,1,0,0
Skin Tight (Mick Stranahan  #1),3.96,en-US,420,14475,571,2000,2,0,1
Basket Case,3.82,eng,400,13125,743,2000,1,0,0
Tourist Season,3.94,eng,404,15459,669,2000,2,0,0
Sick Puppy,3.89,eng,464,20070,1047,2000,2,0,0
Flush,3.88,eng,263,23811,2348,2000,3,0,0
Double Whammy (Skink #1),3.93,eng,404,11050,624,2000,1,0,1
Naked Came the Manatee,3.48,eng,208,2303,161,1990,1,1,0
Strip Tease,3.84,eng,464,12371,536,2000,1,0,0
Basket Case,3.82,eng,413,333,29,2000,1,0,0
Skinny Dip (Mick Stranahan #2),3.81,eng,496,33459,2602,2000,2,0,1
Hoot,3.82,eng,292,85404,3692,2000,1,0,0
Suburban Nation: The Rise of Sprawl and the Decline of the American Dream,4.08,eng,320,1980,154,2000,2,1,0
The Bible Cure For Diabetes,3.84,eng,96,21,1,1990,3,0,0
The Celestine Prophecy: A Pocket Guide to the Nine Insights,3.87,eng,68,1256,100,2000,4,0,0
The Tenth Insight: Holding the Vision (Celestine Prophecy  #2),3.64,eng,256,9889,337,1990,4,0,1
The Celestine Prophecy: An Experiential Guide,3.84,eng,304,120,11,1990,3,0,0
Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,3.77,eng,412,424,47,1970,2,0,0
The Dark Side Of Genius: The Life Of Alfred Hitchcock,3.83,en-US,608,990,97,1990,3,0,0
Enchantment: The Life of Audrey Hepburn,3.87,eng,352,2703,267,2000,2,0,0
Marilyn Monroe: The Biography,4.03,eng,752,1396,99,2000,3,0,0
Cross (Alex Cross  #12),4.0,eng,393,48095,1633,2000,4,0,1
Judge & Jury,4.0,eng,419,41805,831,2000,3,1,0
The 6th Target (Women's Murder Club  #6),4.04,eng,390,47196,1464,2000,2,1,1
The Quickie,3.83,eng,357,32963,2132,2000,3,1,0
You've Been Warned,3.53,eng,374,18058,1519,2000,3,1,0
2nd Chance (Women's Murder Club  #2),4.04,eng,400,78780,2118,2000,2,1,1
1st to Die (Women's Murder Club  #1),4.08,eng,424,269826,5220,2000,2,0,1
Season of the Machete,3.25,eng,341,5512,227,1990,2,0,0
School's Out—Forever (Maximum Ride  #2),4.15,eng,409,103221,2689,2000,2,0,1
Jack & Jill (Alex Cross  #3),3.96,eng,466,58414,1191,2000,3,0,1
The Midnight Club,3.82,eng,368,10970,322,1990,2,0,0
Cat & Mouse (Alex Cross #4),3.98,eng,432,242,15,2000,3,0,1
Pop Goes the Weasel (Alex Cross  #5),4.0,eng,461,52093,985,2000,4,0,1
Roses Are Red (Alex Cross  #6),4.04,eng,421,220,19,2000,2,0,1
Along Came a Spider (Alex Cross  #1),4.11,eng,449,369267,4011,2000,3,0,1
Black Friday,3.68,eng,480,9714,220,2000,2,0,0
Honeymoon (Honeymoon  #1),3.83,eng,406,34087,1809,2000,1,1,1
Kiss the Girls (Alex Cross  #2),3.96,eng,481,297211,2943,2000,3,0,1
The Thomas Berryman Number,2.86,eng,272,4320,307,1990,2,0,0
London Bridges (Alex Cross  #10),3.94,eng,403,36334,905,2000,4,0,1
The Angel Experiment (Maximum Ride  #1),4.08,eng,445,187892,7624,2000,2,0,1
3rd Degree (Women's Murder Club  #3),4.02,eng,352,268,13,2000,2,1,1
The Jester,3.8,eng,548,16563,849,2000,1,1,0
See How They Run,3.84,eng,320,48,1,1990,3,0,0
Miracle on the 17th Green (Travis McKinley  #1),3.68,eng,160,3733,320,1990,2,1,1
When the Wind Blows (When the Wind Blows  #1),3.93,eng,416,42701,1337,2000,2,0,1
SantaKid,3.88,eng,48,862,53,2000,4,1,0
A Little Prairie House,4.19,eng,32,1561,45,1990,1,1,0
Private Parts,3.77,eng,660,3878,151,1990,1,0,0
The Private Parts of Women,3.8,eng,288,22,3,2000,3,0,0
Green Arrow  Vol. 1: Quiver,4.07,en-US,232,5299,131,2000,4,1,1
Quiver,3.51,en-US,177,837,95,2000,2,0,0
A Quiver Full of Arrows,3.78,eng,288,9214,179,2000,3,0,0
Celebrations: Rituals of Peace and Prayer,4.13,eng,128,748,105,2000,4,0,0
The Collected Autobiographies of Maya Angelou,4.63,eng,1184,991,55,2000,3,0,0
Wouldn't Take Nothing for My Journey Now,4.27,eng,127,7423,319,1990,2,0,0
And Still I Rise,4.42,eng,54,3720,240,2000,3,1,0
Life Doesn't Frighten Me,4.41,eng,32,1246,164,1990,1,1,0
Cumbres borrascosas,3.85,spa,384,156,28,2000,2,0,0
Dreaming in Pictures: The Photography,4.01,eng,172,104,6,2000,3,1,0
Lewis Carroll's Jabberwocky: A Book of Brillig Dioramas,4.14,eng,14,31,2,1990,1,1,0
The Collected Short Stories of Maxim Gorky,3.96,eng,404,883,16,1980,3,1,0
Name Dropping,3.52,eng,323,701,53,2000,1,0,0
Many Luscious Lollipops: A Book About Adjectives,4.06,en-US,48,322,41,1990,1,0,0
What Was She Thinking? [Notes on a Scandal],3.71,eng,258,13674,1166,2000,2,0,0
Night of Long Shadows (Eberron: Inquisitives  #2),3.65,en-US,306,152,14,2000,2,0,1
Poetics,3.82,eng,144,12610,486,1990,3,1,0
Poetics of Music in the Form of Six Lessons,4.11,eng,160,988,31,1970,1,1,0
An Introduction to the Old Testament Poetic Books,3.68,eng,392,39,5,1980,3,0,1
Mondrian,3.73,eng,235,26,1,1990,2,1,0
Writings on Art,3.84,eng,192,102,8,2000,2,1,0
The Legacy of Mark Rothko,3.87,eng,403,36,5,1990,3,0,0
Mark Rothko,4.04,eng,296,45,2,1970,3,1,0
Mark Rothko  1903 1970,4.04,eng,296,3,0,2000,2,0,0
A World of Art,3.73,eng,592,56,1,2000,4,0,0
Olympian Odes. Pythian Odes,4.09,mul,416,59,5,1990,2,1,0
The Odes,3.89,eng,256,1052,23,1980,3,1,0
The Odes and Selected Fragments,3.89,eng,352,7,1,1990,1,1,0
Nemean Odes. Isthmian Odes. Fragments,4.19,mul,480,35,1,1990,2,1,0
Sabriel (Abhorsen  #1),4.17,en-US,311,1312,162,2000,3,0,1
Euripides 3: Alcestis/Daughters of Troy/The Phoenician Women/Iphigenia at Aulis/Rhesus,3.88,eng,392,7,1,1990,2,1,0
Eragon: Prima Official Game Guide,3.98,eng,176,120,1,2000,4,0,0
Battlefield of the Mind: Winning the Battle in Your Mind,4.34,en-US,288,27204,698,2000,4,0,0
A Lady At Last (deWarenne Dynasty  #7),4.06,eng,379,1549,87,2000,4,0,1
James Joyce's Ulysses,4.17,eng,405,1991,92,1950,1,0,0
A Complicated Kindness,3.65,eng,253,17963,1023,2000,3,0,0
A Complicated Kindness (Bookclub-In-A-Box),4.0,eng,80,39,1,2000,3,1,0
Race of Scorpions (The House of Niccolo  #3),4.42,eng,534,21,1,1990,2,0,1
Vinyl Cafe Diaries (Vinyl Cafe  #4),4.19,eng,302,924,59,2000,4,0,1
Checkmate (Tom Clancy's Splinter Cell  #3),3.94,eng,402,3896,65,2000,4,1,1
Operation Barracuda (Tom Clancy's Splinter Cell  #2),4.02,eng,326,5062,79,2000,4,1,1
Splinter Cell (Tom Clancy's Splinter Cell  #1),3.85,eng,355,10329,193,2000,4,1,1
Dark Visions,3.89,en-US,381,155,17,2000,3,1,0
Ancilla to the Pre-Socratic Philosophers,4.25,eng,172,46,7,2000,3,1,0
The Presocratics,4.04,en-US,352,201,12,1960,1,0,0
The Presocratic Philosophers,4.25,eng,518,692,26,1980,4,1,0
Presocratic Philosophy: A Very Short Introduction,3.58,eng,144,205,24,2000,3,0,0
The Presocratic Philosophers,4.14,eng,728,68,3,1980,3,1,0
The First Philosophers: The Presocratics and Sophists,3.95,eng,400,356,17,2000,4,1,0
Skeleton Crew,3.96,eng,612,97092,1186,1990,2,0,0
Night Shift,4.0,eng,344,486,56,1990,4,0,0
The Talisman,4.13,eng,646,1259,131,1980,4,1,0
El retrato de Rose Madder,3.7,spa,496,218,30,2000,4,1,0
The Dark Half,3.77,eng,431,103,16,1980,4,0,0
La Milla Verde,4.44,spa,448,9,1,2000,1,1,0
Storm of the Century,3.92,eng,376,18255,266,1990,1,0,0
Girls Think of Everything: Stories of Ingenious Inventions by Women,4.15,eng,64,906,171,2000,1,1,0
How Dogs Think: What the World Looks Like to Them and Why They Act the Way They Do,3.99,en-US,368,693,58,2000,2,0,0
The How to Think Like Leonardo da Vinci Workbook: Your Personal Companion to How to Think Like Leonardo da Vinci,3.85,eng,288,327,16,1990,2,0,0
Brit-Think  Ameri-Think: A Transatlantic Survival Guide,3.26,eng,160,269,40,2000,1,0,0
What You Think of Me Is None of My Business,4.1,en-US,208,203,25,1980,2,0,0
Think on These Things,4.36,eng,258,2509,137,1980,4,1,0
Think Like a Cat: How to Raise a Well-Adjusted Cat—Not a Sour Puss,4.06,eng,413,543,69,2000,1,0,0
Think Like a Guy: How to Get a Guy by Thinking Like One,3.15,en-US,172,115,23,2000,2,0,0
How to Think Theologically,3.67,en-US,142,235,22,2000,1,1,0
JoJo's Bizarre Adventure  Vol. 6 (Stardust Crusaders  #6),4.36,eng,208,309,7,2000,4,0,1
JoJo's Bizarre Adventure  Vol. 4 (Stardust Crusaders  #4),4.45,eng,208,450,8,2000,2,0,1
JoJo's Bizarre Adventure  Vol. 5 (Stardust Crusaders  #5),4.41,eng,208,363,5,2000,3,0,1
JoJo's Bizarre Adventure  Vol. 7 (Stardust Crusaders  #7),4.42,eng,208,339,5,2000,2,0,1
Jojo's Bizarre Adventure  Tome 4: Dans la salle du dragon à deux têtes (Phantom Blood  #4),3.97,fre,180,129,3,2000,2,0,1
JoJo's Bizarre Adventure  Vol. 8 (Stardust Crusaders  #8),4.46,eng,208,303,5,2000,3,0,1
Jojo's Bizarre Adventure  Tome 17: L'Amoureux terrible (Stardust Crusaders  #5),4.41,fre,202,2,1,2000,2,1,1
Jojo's Bizarre Adventure  Tome 6: Jojo contre la forme de vie ultime (Battle Tendency  #1),4.18,fre,198,122,2,2000,2,0,1
Fevre Dream,3.86,eng,350,127,25,1980,1,0,0
The Hedge Knight (The Tales of Dunk and Egg  #1),4.14,eng,164,15977,415,2000,1,1,1
Tuf Voyaging,4.1,en-US,448,62,7,2000,4,0,0
Jack of Kinrowan: Jack the Giant-Killer / Drink Down the Moon,4.12,eng,412,3685,95,2000,3,0,0
Lies My Teacher Told Me: Everything Your History Textbook Got Wrong,3.96,eng,384,402,55,1990,3,0,0
Lies My Teacher Told Me about Christopher Columbus: What Your History Books Got Wrong,4.0,eng,48,227,15,2000,4,0,1
C.G. Jung and Hermann Hesse: A Book of Two Friendships,4.02,eng,142,405,21,1990,1,0,0
The Journey to the East,3.7,eng,128,8071,360,2000,1,1,0
Son of a Witch (The Wicked Years  #2),3.47,eng,352,52323,3023,2000,3,1,1
March,3.75,eng,280,49145,5344,2000,1,0,0
Foreign Correspondence: A Pen Pal's Journey from Down Under to All Over,3.85,eng,240,1428,204,1990,1,0,0
Jojo's Bizarre Adventure  Tome 1: Dio  L'envahisseur (Phantom Blood  #1),3.88,fre,186,6,0,2000,1,0,1
